"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PLIN3__533",0.697005130702561,26.1551328137016,5.16884163133175,8.26520848800417e-05,0.000983695305293611,1.10987172558007
"SYNPO2__338",-1.11506318513367,25.2830296051789,-5.16019361462354,8.41275978964409e-05,0.000995814718578523,1.09191484106958
"SOD2__657",2.34814174938392,25.8760460230873,5.15308362969332,8.53609537797298e-05,0.00100495220179595,1.07714599363928
"PRSS12__1213",1.24158133691062,23.466893102174,5.11356589720101,9.25627484874557e-05,0.00108387992583698,0.994969330226191
"HMGB1;HMGB1P1__730",-0.458436934790168,30.5262198277785,-5.08758458754325,9.76350168231402e-05,0.0011371607841754,0.94085902460586
"TUBB6__1888",1.14665599154397,25.5510389236648,5.05229226857448,0.000104985885740942,0.00121627265502006,0.867254228321512
"MAT2B__2031",-0.431364248820469,25.3983066501763,-5.04527307126035,0.000106514339437626,0.00122263115096784,0.852601235637486
"PRPF19__2091",-0.329873873667811,27.3797255956444,-5.04329319043111,0.000106949580127558,0.00122263115096784,0.848467288515117
"NRCAM__234",-1.41978515372429,24.4239039473045,-5.04207265418489,0.00010721880157707,0.00122263115096784,0.845918654865153
"CTTN__1483",0.413237880838771,26.6083008854729,5.02302057699951,0.000111512553086106,0.00126497052407051,0.806117689443845
"SMARCA5__525",-0.418126645838363,25.3360281835158,-5.00392495305766,0.00011599329728548,0.00130898135485894,0.766192416693229
"MAT2A__969",-0.514765139274168,26.3584032296912,-4.9980997096948,0.000117396617461737,0.00131798882902919,0.754006374863192
"CANX__930",0.5048367974283,28.4550664920512,4.99276939571938,0.000118695961100028,0.00132574258090185,0.742853017188214
"HADHB__1197",0.400292749757671,27.0645514111308,4.98676568861554,0.000120177126580439,0.00133543766169488,0.730287573902001
"SUMO1__212",-0.353254921645039,26.0533310760387,-4.95829183456441,0.000127464265481803,0.00140277892468016,0.670649672373632
"LUC7L2__2134",-0.420581494439318,26.620989725273,-4.95806024412849,0.000127525356789106,0.00140277892468016,0.67016431796366
"LAMB1__324",0.65758571239806,24.5611878621968,4.94999503122703,0.000129671709065588,0.00141741010208438,0.653258767891744
"RRBP1__2043",0.571275017457509,25.1095003768022,4.94819032527687,0.000130157034167528,0.00141741010208438,0.649475134609501
"CNN2__202",0.954662089330846,26.3583398201803,4.92602398420431,0.000136272167238235,0.00147662079723819,0.602979597703637
"TAX1BP3__464",2.66358360366104,25.360434390721,4.89230619982329,0.000146143911059656,0.00157574969449471,0.532173749252122
"LRRFIP1__1581",0.605372694468837,24.8471326115976,4.87292835666721,0.000152145764663969,0.00163238165240455,0.491438141547791
