protein,pvalue,log2FC,adj_pvalue
PLXNB2,0.09725378026046962,0.37363788078415894,0.25097006327879484
PFAS,0.0006493065687849666,-0.5235720056777602,0.011784914223447143
NACAD,0.1868619161368774,0.6615001067586519,0.37648959606486493
DCLK1,0.002358698384073874,1.739440596649107,0.02747189882627218
SCAMP1,0.6777807983667645,-0.05234904971553078,0.8165379436257291
ARPC1B,0.0011536467009183127,0.7695824794365187,0.01746466312462045
ARPC2,0.11947451173355257,0.30565936286686934,0.2859510841271181
ARPC3,0.0023337324237075715,0.5384572055371066,0.027327253864704786
PGRMC2,0.16233324145227054,0.8973886501562021,0.3458564798273654
PFDN6,0.4304040514035049,-0.12799667087378452,0.6325371281760012
VGF,0.04686971157009548,1.6269789060849966,0.16359332019177555
SPTLC1,0.1850097957795786,0.6457845032846699,0.37386833149029164
OGT,0.40206094205804294,0.2294305137594712,0.6055938670832762
PMM2,0.6543642743793943,-0.052261978604008164,0.7975407888071184
PPM1G,0.1264738041979899,-0.1901542771578164,0.2955578814841438
EIF3D,0.7342590707008907,-0.05728736763134279,0.8529153365261547
CD3EAP,0.3259639191908045,0.40618359680156857,0.5270597000724366
YKT6,0.260531731435508,0.13689989753402898,0.46291513352436076
ARPC5,0.001154688471049286,0.5231470725468377,0.01746466312462045
DHX15,0.027184300743604912,-0.21807772078585685,0.11817845712489321
RNMT,0.7498392969124358,-0.11967099364257194,0.8609119602927174
PRPF4,0.7801987965691869,0.030570307018408016,0.8809087500921146
DYNC1LI2,0.07054986369708605,0.8241142423654857,0.20542460311798585
PSMD3,0.6005712786398842,0.06536690945175394,0.7618195951529807
PAPSS1,0.37695633951221186,0.21911237287107355,0.581040981923282
ZW10,0.08232575052716042,-0.8596495782602211,0.22611032111999418
SART1,0.24333354942846105,-0.2086362622977589,0.44480746331734144
TGFB1I1,0.3321063420738268,0.39963751387287516,0.5341464873831362
MSI1,0.011458278383641928,-0.6697337087608659,0.07405379916786979
HNRNPR,0.11818042281061679,-0.16214462431097587,0.2831649734670224
PRPF3,0.6187509467027688,-0.06321886688328249,0.7753967559946089
TXNL1,0.590241374896085,-0.06897593030395655,0.753892889791383
TPD52L2,0.04069220573414087,0.26011934483185684,0.1491131351962078
PPIH,3.950944637274535e-06,-0.5157263552060662,0.0004902060986835044
LAMTOR5,0.868952942646032,-0.12272117546808659,0.9286454902272118
DENR,0.12409991756280249,0.12472611096129427,0.2928381586693216
TIMM44,0.9236171310569335,0.022019866065726035,0.9578400983576686
PLRG1,0.4826985453505633,-0.08983075777507565,0.6773952524313962
ASNA1,0.25283221714837023,-0.10360117739218566,0.4547221874063999
ACTN4,0.003041905403696979,0.858876002113,0.03224036247404014
HTATSF1,0.023879097574347575,-0.9006526651281028,0.11108447059679005
SGTA,0.05377019243184349,-0.1452407535187632,0.17663873169917815
NARS,0.26163046434283327,0.06879781620161651,0.46291513352436076
NUDT21,0.04038797174514052,-0.2623302853517231,0.14858953118397983
LANCL1,0.05926855215334455,-0.9686347559255637,0.1868223005191829
STRN,0.4768487700449507,0.09082111957775751,0.6752773869687273
AKAP8,0.557141789073043,-0.18641372991018557,0.7313990664094226
CALU,0.9633144621103186,-0.007084787304538764,0.9834606049340242
AHCYL1,0.008316986155909107,0.3808157078439436,0.0605832637042476
RAD21,0.008106675526686261,-0.4426967933610939,0.05952333150826469
DHX16,0.8116708122445362,0.1256867852277317,0.9001115219290222
PRPSAP2,0.204790706150672,-0.37117979117158484,0.3993143760037275
SMARCA5,0.017458544655173634,-0.2793489502843869,0.09342680653309134
KIF5C,0.708928004534471,0.19752536033021073,0.8364275156425124
AQR,0.22104023961937233,-0.8735912167057052,0.4208266100445742
KDM1A,0.0002481192508012191,-0.7173822574859621,0.006362459531266222
DFNA5,0.0640720643080519,0.8337832252316595,0.19504677844355905
SNX3,0.12043339909811597,-0.1370349537987785,0.28698462060798313
SYNCRIP,0.030115873617904902,-0.1765676127326472,0.12337405125912818
PLOD3,0.6943759623819716,0.05241961121240024,0.8264212273595268
PLIN3,0.0070450967826864485,0.6285148930922588,0.054948147348708835
KPNA6,0.7904691267661099,0.02462135364693907,0.8873057345001327
UGDH,0.00010664250327458615,0.5107085124855324,0.004570316692546955
SNX2,0.5832498369308309,-0.15255793553220087,0.7491175174675142
USO1,0.004374065583464228,0.6845262883527212,0.04178383702098723
HIST1H2BL;HIST1H2BH;HIST1H2BN;HIST1H2BC;HIST1H2BD;HIST1H2BK;HIST2H2BF;HIST1H2BM;H2BFS,0.020356903096018994,-0.5939341951146062,0.10215975793347781
PQBP1,0.24237518934501395,-0.15859944869394482,0.44434546432781225
PRAF2,0.4081481524735294,0.7426402558874834,0.6114262347377607
DKC1,0.767883191487694,-0.0441181212668873,0.8732627208827201
EDF1,0.3371009964871156,0.08541968332552585,0.5379476775091128
DNAJA2,0.003942370393247725,0.23645790593845106,0.03885286297055903
CUTA,0.7647845325918362,-0.25435645725603706,0.871182380745303
WDR1,0.0013897162199231212,0.5280812919431952,0.01953221485667013
CPNE3,0.24277828399912607,-0.094644923181324,0.44434546432781225
DNAJB6,0.6000956226484091,-0.06105392277050825,0.7618195951529807
GGCT,0.891236901429527,-0.013891560681958737,0.9410061591872292
NDUFS2,0.05852584687016659,-1.385086036243294,0.18581529808049976
ZPR1,0.0014421951424862431,0.3301747857925257,0.02007358985372472
GBAS,0.10988221014986757,0.9761325485729984,0.26920523476536734
PDCD6,0.11073520825611817,0.12454748666891291,0.27068606462606665
ATP6V1G1,0.3159810136345335,0.9251039849460696,0.5197935405559018
VPS4B,0.00022033532817145916,0.340566472838443,0.006232342139706988
H2AFY,0.882770739852973,0.018321544092501085,0.9345598380432119
SH3BGRL,0.6542102314959785,0.07446130737319478,0.7975407888071184
FLNB,2.1412160583235541e-07,2.6638037202145384,5.8294607187858763e-05
PEX14,0.5109144679542229,0.22200313709074848,0.6985384251125534
SEC22B,4.9668674666794944e-05,0.7961890331841488,0.003090810669265125
PRPF40A,0.26610149240794007,-0.2729905880953112,0.46722001646402095
MTX2,0.4352824293330967,-0.4174648325402259,0.63712710422546
VPS26A,0.9054839193277233,0.07582873885433017,0.9476905220066225
PMPCB,0.09203504444547125,0.8895635318091131,0.2429794297957372
PSIP1,0.038563926241197435,-0.37262711548070726,0.14406900746711496
NDUFS3,0.36445800044513826,-0.467849566538586,0.5690247490820869
